driver_id,name,phone,email,password,latitude,longitude,collected_qr_money,status,version
1,Bui Van Minh,0989962345,buivanminh1@driver.com,1dd65042881f415ceb8ee652efe5897beed4e42582a548fb81b9ba1c084e050d,10.726368,106.748416,160000.0,AVAILABLE,0
2,Huynh Khanh Huong,0352968381,huynhkhanhhuong2@driver.com,563f732e6e971cfc06cbdeacc7d8c42a3968825cb60c03c182ba6594d8593f64,10.774809,106.719654,170000.0,AVAILABLE,0
3,Tran Van Tuan,0979859065,tranvantuan3@driver.com,de8ffca9986cd21b7dd37a04cf52bd27f13270b05f8299ebaa1e6ef47abd4d77,10.782991,106.617652,80000.0,BUSY,0
4,Hoang Van Tuan,0778035924,hoangvantuan4@driver.com,1e7751970ac8ce54c5fe3d1cbb71a17366c4943ce0396029c691ef1b2ab075f6,10.829831,106.749044,150000.0,BUSY,0
5,Tran Thi Linh,0900522803,tranthilinh5@driver.com,f11501318bd096bcd0110b87e52972e8c610cb8bbe05010af1dc3de969ac7a06,10.844464,106.734161,110000.0,OFFLINE,0
6,Le Tuan Long,0326774893,letuanlong6@driver.com,dfdce16c390560086363a3bb56f31d71ec1a7b392c5d450b5befaacbf64227bf,10.823770,106.604918,70000.0,BUSY,0
7,Le Thi Linh,0913349401,lethilinh7@driver.com,8a497222b3d7f4e9cf6af0088f9172a111c91d079a262cf9f5b68733929142b0,10.737054,106.723187,0.0,OFFLINE,0
8,Hoang Thi Hai,0918034532,hoangthihai8@driver.com,d258c079bc71dc6e6a59a12525bbcb38d3aff0acb84185e2471efac297d75162,10.824974,106.738424,110000.0,AVAILABLE,0
9,Bui Van Hai,0986583883,buivanhai9@driver.com,a9e28f2ba1e409bb479131e7407aaf3a773acd3b79730e00cd73ec203c9e935b,10.786566,106.618568,130000.0,BUSY,0
10,Phan Van Hai,0777273991,phanvanhai10@driver.com,5d3ac82fc9cea6a8cb39b0083befdc21906315757cf42e9bc3d2fce1997fd335,10.802858,106.615902,150000.0,OFFLINE,0
11,Phan Duc Lan,0772404916,phanduclan11@driver.com,53265c19a8e791cdd815b4437d25bc153b48ee324df9d66098717af68245ff6d,10.755218,106.663240,90000.0,AVAILABLE,0
12,Phan Hoang Long,0771152197,phanhoanglong12@driver.com,a38977d406cca0811221f052115852b594f495205bfcde8f0eb4738b16029699,10.828945,106.746760,80000.0,OFFLINE,0
13,Vu Hoang Tuan,0974853425,vuhoangtuan13@driver.com,196432e6f83923981424b4236e1da27bd3bfdc2bcb237be6d5de4b09ddf6d3fe,10.798464,106.739681,80000.0,AVAILABLE,0
14,Nguyen Khanh Long,0935376019,nguyenkhanhlong14@driver.com,0e1224cd8d0b898e4305aff0aa46564f9e282c5860aace3206a544b26daa7c87,10.833844,106.601524,70000.0,AVAILABLE,0
