id,name,status,current_lat,current_lng,version
1,Dang Duy Trang,AVAILABLE,10.811413,106.630175,0
2,Pham Tuan Long,BUSY,10.73828,106.602142,0
3,Le Anh Hai,AVAILABLE,10.872901,106.638694,0
4,Tran Xuan Binh,AVAILABLE,10.780653,106.681885,0
5,Ho Ngoc Nam,AVAILABLE,10.767966,106.733178,0
6,Bui Khanh Long,BUSY,10.874065,106.623415,0
7,Phan Anh Dung,AVAILABLE,10.818462,106.71699,0
8,Le Thu Gia,BUSY,10.828486,106.73311,0
9,Pham Quang Tuan,BUSY,10.763497,106.637103,0
10,Phan Ngoc Binh,BUSY,10.811956,106.679492,0
11,Bui Duc Phong,AVAILABLE,10.864218,106.68998,0
12,Pham Ngoc Vy,AVAILABLE,10.857814,106.717653,0
13,Bui Duy Thanh,BUSY,10.853088,106.647494,0
14,Vo Tuan Thanh,AVAILABLE,10.825305,106.666826,0
15,Bui Ngoc Cuong,BUSY,10.754809,106.603494,0
16,Bui Thu Trang,BUSY,10.809477,106.710463,0
17,Nguyen Van Khoa,AVAILABLE,10.743523,106.679099,0
18,Phan Tuan Nam,BUSY,10.833735,106.625635,0
19,Ho Phuong Quan,AVAILABLE,10.838456,106.66229,0
20,Ho Ngoc Khoa,BUSY,10.79598,106.686103,0
21,Hoang Khanh Long,BUSY,10.827652,106.744917,0
22,Ngo Van Nam,BUSY,10.776719,106.62089,0
23,Vo Ngoc Hung,BUSY,10.846928,106.65767,0
24,Tran Quang Gia,BUSY,10.805041,106.697688,0
25,Hoang Thi Trang,BUSY,10.828725,106.691136,0
26,Huynh Duy Dung,AVAILABLE,10.865866,106.637946,0
27,Pham Van Nam,BUSY,10.822979,106.628497,0
28,Vo Quang Son,BUSY,10.769363,106.657963,0
29,Le Thu Quan,BUSY,10.779678,106.602976,0
30,Vu Duy Son,AVAILABLE,10.740924,106.717828,0
31,Nguyen Minh Thanh,AVAILABLE,10.820242,106.730607,0
32,Phan Duy Linh,BUSY,10.777615,106.697543,0
33,Phan Quang Linh,BUSY,10.812381,106.606421,0
34,Ngo Phuong Quan,AVAILABLE,10.754481,106.657162,0
35,Bui Quang Vy,AVAILABLE,10.800582,106.689623,0
36,Pham Hoang Tuan,BUSY,10.751617,106.675288,0
37,Phan Tuan Quan,BUSY,10.731855,106.740862,0
38,Dang Xuan Hai,BUSY,10.810393,106.697754,0
39,Phan Quang Nam,BUSY,10.803919,106.712164,0
40,Tran Ngoc Trang,BUSY,10.864744,106.715834,0
41,Dang Khanh Binh,AVAILABLE,10.800439,106.677627,0
42,Pham Anh Tuan,AVAILABLE,10.73091,106.730816,0
43,Phan Tuan Thanh,BUSY,10.865498,106.630454,0
44,Nguyen Duy Hai,BUSY,10.826536,106.74927,0
45,Hoang Khanh Dung,BUSY,10.806924,106.709417,0
46,Do Thi Hung,BUSY,10.87752,106.640848,0
47,Vo Ngoc Cuong,AVAILABLE,10.755634,106.655332,0
48,Phan Van Viet,AVAILABLE,10.80852,106.627963,0
49,Pham Thu Hung,BUSY,10.795648,106.635637,0
50,Huynh Hoang Khoa,BUSY,10.850502,106.664159,0
51,Nguyen Ngoc Dung,BUSY,10.816906,106.662654,0
52,Dang Duy Khoa,BUSY,10.786245,106.745535,0
53,Nguyen Xuan Linh,AVAILABLE,10.830552,106.668625,0
54,Vu Phuong Anh,BUSY,10.842188,106.637039,0
55,Do Duc Viet,BUSY,10.823821,106.638102,0
56,Vu Phuong Trang,AVAILABLE,10.772525,106.682982,0
57,Pham Anh Khoa,AVAILABLE,10.769192,106.685784,0
58,Huynh Thi Minh,BUSY,10.768941,106.608588,0
59,Hoang Thi Em,BUSY,10.839934,106.705382,0
60,Ho Tuan Minh,AVAILABLE,10.816895,106.606949,0
61,Pham Thu Em,BUSY,10.87172,106.602604,0
62,Pham Thu Minh,BUSY,10.856838,106.643179,0
63,Tran Duy Minh,AVAILABLE,10.84743,106.66283,0
64,Nguyen Thu Son,BUSY,10.846276,106.695146,0
65,Phan Hoang Em,AVAILABLE,10.769818,106.741591,0
66,Do Minh Linh,BUSY,10.756067,106.63758,0
67,Ngo Ngoc Trang,BUSY,10.874168,106.603407,0
68,Hoang Thu Cuong,BUSY,10.871854,106.613919,0
69,Hoang Khanh Hai,BUSY,10.7706,106.622092,0
70,Bui Duy Anh,AVAILABLE,10.859037,106.677721,0
71,Phan Van Phong,BUSY,10.793182,106.743101,0
72,Le Thu Vy,AVAILABLE,10.737168,106.622966,0
73,Bui Minh Trang,BUSY,10.770469,106.746012,0
74,Phan Hoang Thanh,AVAILABLE,10.797192,106.66011,0
75,Le Xuan Dung,AVAILABLE,10.769653,106.682721,0
76,Dang Xuan Hai,AVAILABLE,10.832405,106.632199,0
77,Hoang Ngoc Hai,BUSY,10.753939,106.704442,0
78,Le Minh Cuong,BUSY,10.741546,106.602897,0
79,Vu Hoang Linh,BUSY,10.780326,106.728094,0
80,Huynh Van Long,AVAILABLE,10.849916,106.735761,0
81,Huynh Thi Long,AVAILABLE,10.852414,106.73017,0
82,Bui Xuan Hung,AVAILABLE,10.78192,106.671588,0
83,Hoang Thi Binh,BUSY,10.780404,106.693657,0
84,Ngo Xuan Cuong,AVAILABLE,10.855933,106.748187,0
85,Pham Khanh Vy,AVAILABLE,10.737933,106.621108,0
86,Pham Thi Quan,BUSY,10.859892,106.6944,0
87,Pham Van Hung,BUSY,10.842893,106.614449,0
88,Ngo Xuan Viet,AVAILABLE,10.853502,106.617712,0
89,Nguyen Van Gia,AVAILABLE,10.826875,106.6096,0
90,Tran Hoang Long,BUSY,10.730464,106.74228,0
91,Huynh Thu Son,BUSY,10.74541,106.741503,0
92,Tran Tuan Hai,BUSY,10.861624,106.741732,0
93,Vo Duy Trang,AVAILABLE,10.868618,106.65264,0
94,Huynh Thu Quan,AVAILABLE,10.77743,106.748554,0
95,Ho Thi Viet,BUSY,10.879454,106.745631,0
96,Le Minh Quan,AVAILABLE,10.835612,106.609412,0
97,Dang Duc Hung,AVAILABLE,10.794167,106.617986,0
98,Phan Duc Linh,AVAILABLE,10.757466,106.74324,0
99,Phan Khanh Huy,AVAILABLE,10.807138,106.604616,0
100,Le Van Long,AVAILABLE,10.803654,106.646437,0
101,Pham Phuong Linh,BUSY,10.749741,106.691169,0
102,Phan Duc Anh,BUSY,10.747917,106.726998,0
103,Phan Hoang Vy,AVAILABLE,10.790376,106.698795,0
104,Nguyen Thi Phong,AVAILABLE,10.844587,106.736922,0
105,Nguyen Ngoc Minh,BUSY,10.840319,106.728405,0
106,Ngo Quang Thanh,AVAILABLE,10.773313,106.709736,0
107,Nguyen Duy Em,BUSY,10.817542,106.740041,0
108,Ho Anh Khoa,BUSY,10.831887,106.74746,0
109,Phan Xuan Long,BUSY,10.808148,106.730402,0
110,Vu Thi Phong,BUSY,10.835577,106.688861,0
111,Vu Thu Trang,BUSY,10.802576,106.609151,0
112,Le Phuong Nam,AVAILABLE,10.768861,106.728323,0
113,Phan Xuan Dung,BUSY,10.771212,106.712065,0
114,Vo Thu Phong,AVAILABLE,10.822958,106.642177,0
115,Do Duc Nam,AVAILABLE,10.831566,106.626622,0
116,Le Van Anh,AVAILABLE,10.740062,106.716815,0
117,Hoang Thu Binh,AVAILABLE,10.846661,106.643107,0
118,Vo Xuan Phong,BUSY,10.82267,106.610439,0
119,Bui Duy Huy,BUSY,10.781777,106.731832,0
120,Bui Phuong Hung,AVAILABLE,10.853905,106.667766,0
121,Do Duc Linh,AVAILABLE,10.784204,106.684545,0
122,Ngo Phuong Em,AVAILABLE,10.862238,106.644542,0
123,Vo Quang Khoa,BUSY,10.738152,106.74562,0
124,Huynh Thi Anh,AVAILABLE,10.801495,106.73618,0
125,Do Hoang Anh,BUSY,10.73446,106.746109,0
126,Bui Anh Anh,AVAILABLE,10.754562,106.692375,0
127,Phan Thi Gia,BUSY,10.782265,106.741256,0
128,Huynh Tuan Khoa,AVAILABLE,10.756673,106.637029,0
129,Le Minh Phong,AVAILABLE,10.827268,106.639537,0
130,Phan Thi Thanh,BUSY,10.871689,106.650308,0
131,Le Duc Anh,AVAILABLE,10.828744,106.698826,0
132,Tran Thu Huy,BUSY,10.842263,106.707195,0
133,Vu Xuan Linh,AVAILABLE,10.834964,106.602776,0
134,Ngo Khanh Trang,BUSY,10.772292,106.654338,0
135,Do Duc Dung,BUSY,10.734146,106.717993,0
136,Tran Phuong Khoa,BUSY,10.737542,106.694564,0
137,Nguyen Phuong Hung,AVAILABLE,10.745615,106.620082,0
138,Ho Khanh Vy,BUSY,10.857868,106.635876,0
139,Phan Duy Anh,BUSY,10.753297,106.664178,0
140,Do Phuong Hung,BUSY,10.851905,106.699266,0
141,Le Phuong Binh,AVAILABLE,10.821212,106.713012,0
142,Phan Minh Em,BUSY,10.832639,106.717193,0
143,Do Tuan Vy,BUSY,10.768097,106.673127,0
144,Nguyen Van Son,AVAILABLE,10.789758,106.742059,0
145,Bui Quang Minh,BUSY,10.76583,106.627318,0
146,Huynh Thu Thanh,BUSY,10.742171,106.721501,0
147,Ngo Phuong Tuan,BUSY,10.763779,106.638878,0
148,Vo Khanh Quan,BUSY,10.73161,106.684869,0
149,Nguyen Ngoc Cuong,AVAILABLE,10.778743,106.640744,0
150,Phan Anh Hai,BUSY,10.765695,106.67269,0
151,Tran Khanh Huy,AVAILABLE,10.827629,106.710128,0
152,Vo Tuan Minh,AVAILABLE,10.856379,106.728478,0
153,Bui Khanh Gia,BUSY,10.817503,106.716712,0
154,Pham Duc Nam,BUSY,10.73715,106.709717,0
155,Huynh Xuan Binh,AVAILABLE,10.745178,106.620001,0
156,Pham Duy Anh,AVAILABLE,10.829913,106.612352,0
157,Bui Khanh Gia,AVAILABLE,10.845979,106.628915,0
158,Bui Phuong Khoa,BUSY,10.819927,106.640632,0
159,Do Thu Anh,AVAILABLE,10.768837,106.624209,0
160,Ngo Khanh Vy,AVAILABLE,10.784716,106.741627,0
161,Vo Xuan Viet,AVAILABLE,10.792357,106.681804,0
162,Tran Khanh Long,BUSY,10.860332,106.711267,0
163,Pham Tuan Quan,BUSY,10.78401,106.672617,0
164,Dang Quang Phong,AVAILABLE,10.865889,106.666237,0
165,Phan Quang Hung,AVAILABLE,10.742102,106.701975,0
166,Bui Xuan Khoa,BUSY,10.744751,106.663559,0
167,Huynh Thu Linh,AVAILABLE,10.797657,106.739199,0
168,Nguyen Phuong Viet,AVAILABLE,10.768279,106.687196,0
169,Phan Duy Thanh,BUSY,10.840879,106.67545,0
170,Pham Minh Gia,AVAILABLE,10.785536,106.608531,0
171,Ho Hoang Nam,AVAILABLE,10.874323,106.735403,0
172,Phan Xuan Huy,BUSY,10.839844,106.665024,0
173,Do Phuong Son,BUSY,10.832438,106.705867,0
174,Hoang Thu Tuan,BUSY,10.860596,106.63892,0
175,Ngo Van Quan,BUSY,10.744625,106.681903,0
176,Tran Khanh Tuan,AVAILABLE,10.77622,106.60532,0
177,Vo Khanh Quan,AVAILABLE,10.806454,106.668555,0
178,Tran Duy Nam,AVAILABLE,10.781696,106.606451,0
179,Phan Thi Nam,BUSY,10.811202,106.613758,0
180,Dang Xuan Nam,AVAILABLE,10.781511,106.696491,0
181,Do Minh Binh,AVAILABLE,10.831338,106.685521,0
182,Nguyen Anh Khoa,BUSY,10.766475,106.738759,0
183,Ho Khanh Quan,BUSY,10.877128,106.743967,0
184,Bui Duy Hung,BUSY,10.770276,106.724623,0
185,Tran Anh Vy,AVAILABLE,10.746994,106.696321,0
186,Dang Quang Viet,AVAILABLE,10.739172,106.620962,0
187,Le Anh Son,BUSY,10.871778,106.61042,0
188,Huynh Thu Viet,AVAILABLE,10.83574,106.740502,0
189,Dang Hoang Long,BUSY,10.792556,106.699844,0
190,Vo Duc Binh,AVAILABLE,10.785055,106.666883,0
191,Phan Ngoc Long,AVAILABLE,10.799165,106.731248,0
192,Do Ngoc Phong,BUSY,10.809209,106.653781,0
193,Vu Thu Phong,BUSY,10.744068,106.691982,0
194,Do Thi Hung,BUSY,10.733575,106.604917,0
195,Huynh Thi Cuong,BUSY,10.73373,106.693578,0
196,Le Minh Tuan,BUSY,10.785695,106.629304,0
197,Bui Phuong Cuong,BUSY,10.787134,106.674208,0
198,Vo Quang Gia,BUSY,10.745219,106.603549,0
199,Ngo Thu Vy,AVAILABLE,10.788598,106.650675,0
200,Tran Phuong Vy,AVAILABLE,10.740757,106.710566,0
201,Bui Duy Binh,AVAILABLE,10.749532,106.658046,0
202,Hoang Thi Khoa,BUSY,10.877081,106.611517,0
203,Phan Quang Tuan,AVAILABLE,10.831293,106.602492,0
204,Huynh Duc Minh,AVAILABLE,10.813546,106.645333,0
205,Huynh Minh Gia,BUSY,10.768779,106.740442,0
206,Ngo Tuan Tuan,AVAILABLE,10.752141,106.687633,0
207,Nguyen Thu Thanh,BUSY,10.771913,106.684615,0
208,Le Thu Long,BUSY,10.83107,106.738402,0
209,Tran Ngoc Linh,AVAILABLE,10.769666,106.725035,0
210,Le Phuong Viet,AVAILABLE,10.757254,106.745238,0
211,Vo Ngoc Dung,AVAILABLE,10.748766,106.740604,0
212,Huynh Tuan Gia,BUSY,10.79866,106.656516,0
213,Le Minh Hung,BUSY,10.776746,106.714322,0
214,Huynh Tuan Linh,BUSY,10.794852,106.686316,0
215,Le Anh Minh,BUSY,10.83647,106.602739,0
216,Vo Van Trang,BUSY,10.781657,106.610421,0
217,Pham Quang Trang,BUSY,10.786795,106.647727,0
218,Dang Anh Binh,BUSY,10.863358,106.700255,0
219,Tran Phuong Binh,AVAILABLE,10.801512,106.706156,0
220,Vu Xuan Linh,BUSY,10.853299,106.639075,0
221,Hoang Hoang Quan,BUSY,10.876218,106.660561,0
222,Hoang Anh Anh,BUSY,10.841307,106.602255,0
223,Dang Quang Em,AVAILABLE,10.730264,106.711388,0
224,Hoang Thi Cuong,BUSY,10.733829,106.621008,0
225,Pham Anh Linh,BUSY,10.86843,106.688892,0
226,Hoang Khanh Trang,AVAILABLE,10.750181,106.686378,0
227,Vo Khanh Long,BUSY,10.804469,106.710302,0
228,Ngo Duc Thanh,BUSY,10.845808,106.637826,0
229,Phan Quang Thanh,AVAILABLE,10.836188,106.7453,0
230,Tran Thu Vy,AVAILABLE,10.820954,106.718264,0
231,Nguyen Duc Khoa,AVAILABLE,10.749179,106.740435,0
232,Hoang Ngoc Hung,AVAILABLE,10.810641,106.714863,0
233,Bui Anh Cuong,AVAILABLE,10.86389,106.740538,0
234,Pham Phuong Nam,AVAILABLE,10.83935,106.742473,0
235,Le Duy Vy,AVAILABLE,10.828155,106.632728,0
236,Tran Duy Thanh,BUSY,10.861313,106.613986,0
237,Ngo Anh Long,AVAILABLE,10.744837,106.676095,0
238,Nguyen Thu Khoa,AVAILABLE,10.794805,106.629493,0
239,Nguyen Khanh Binh,BUSY,10.86174,106.717655,0
240,Ho Duy Em,BUSY,10.846337,106.653546,0
241,Pham Duc Nam,BUSY,10.738441,106.682646,0
242,Nguyen Thi Cuong,AVAILABLE,10.808151,106.687389,0
243,Ngo Phuong Khoa,BUSY,10.792172,106.614762,0
244,Ngo Duc Hung,AVAILABLE,10.799913,106.630474,0
245,Le Minh Tuan,AVAILABLE,10.762419,106.679412,0
246,Huynh Van Nam,BUSY,10.863001,106.713102,0
247,Dang Tuan Phong,BUSY,10.771377,106.680587,0
248,Bui Thu Cuong,AVAILABLE,10.753294,106.669533,0
249,Phan Phuong Linh,AVAILABLE,10.79492,106.629412,0
250,Tran Xuan Hung,AVAILABLE,10.865848,106.708393,0
251,Phan Minh Quan,BUSY,10.846213,106.639994,0
252,Dang Tuan Viet,AVAILABLE,10.76237,106.624712,0
253,Phan Khanh Hai,AVAILABLE,10.761638,106.715615,0
254,Vo Duy Nam,BUSY,10.80988,106.635441,0
255,Dang Hoang Hung,AVAILABLE,10.766175,106.725898,0
256,Phan Xuan Huy,BUSY,10.77646,106.65777,0
257,Nguyen Van Huy,AVAILABLE,10.732869,106.61299,0
258,Bui Duc Dung,AVAILABLE,10.817498,106.637089,0
259,Le Phuong Trang,BUSY,10.738567,106.602388,0
260,Do Van Cuong,AVAILABLE,10.873309,106.668931,0
261,Do Quang Huy,BUSY,10.755534,106.631456,0
262,Nguyen Thi Thanh,AVAILABLE,10.83655,106.746729,0
263,Hoang Quang Minh,BUSY,10.806129,106.646252,0
264,Ho Thu Hung,AVAILABLE,10.735306,106.604723,0
265,Le Thi Anh,BUSY,10.845166,106.604727,0
266,Vu Anh Quan,AVAILABLE,10.815273,106.612852,0
267,Phan Anh Em,BUSY,10.872127,106.711897,0
268,Ho Khanh Trang,AVAILABLE,10.841906,106.667971,0
269,Pham Van Viet,AVAILABLE,10.762856,106.650063,0
270,Tran Duc Dung,BUSY,10.830952,106.663228,0
271,Le Duy Gia,AVAILABLE,10.847904,106.654673,0
272,Dang Hoang Gia,AVAILABLE,10.803263,106.604933,0
273,Huynh Thi Phong,AVAILABLE,10.852156,106.723908,0
274,Vu Tuan Nam,AVAILABLE,10.797278,106.733753,0
275,Vu Thu Binh,AVAILABLE,10.847894,106.737583,0
276,Le Anh Phong,BUSY,10.76008,106.694586,0
277,Vu Thi Vy,AVAILABLE,10.86095,106.698437,0
278,Pham Thi Tuan,AVAILABLE,10.875431,106.736925,0
279,Hoang Thi Son,AVAILABLE,10.75709,106.64641,0
280,Vu Tuan Minh,AVAILABLE,10.824665,106.615066,0
281,Pham Tuan Huy,BUSY,10.87328,106.733993,0
282,Dang Minh Long,BUSY,10.863865,106.744988,0
283,Vu Quang Hai,AVAILABLE,10.745983,106.638225,0
284,Dang Minh Thanh,AVAILABLE,10.738195,106.612246,0
285,Huynh Xuan Hung,AVAILABLE,10.826137,106.672434,0
286,Ngo Thu Hai,BUSY,10.741805,106.712706,0
287,Nguyen Hoang Tuan,BUSY,10.857955,106.698304,0
288,Le Minh Dung,AVAILABLE,10.869198,106.69547,0
289,Dang Anh Nam,BUSY,10.786208,106.62636,0
290,Bui Thi Gia,AVAILABLE,10.791458,106.664804,0
291,Ngo Khanh Nam,AVAILABLE,10.794131,106.63044,0
292,Hoang Thi Trang,AVAILABLE,10.878243,106.635436,0
293,Do Phuong Nam,BUSY,10.861593,106.739261,0
294,Bui Minh Anh,BUSY,10.773932,106.673037,0
295,Vo Minh Quan,AVAILABLE,10.870701,106.705652,0
296,Ngo Ngoc Khoa,BUSY,10.773837,106.689223,0
297,Do Phuong Tuan,AVAILABLE,10.823469,106.641543,0
298,Vo Quang Nam,BUSY,10.783867,106.697928,0
299,Phan Van Minh,BUSY,10.773697,106.694296,0
300,Do Duc Gia,AVAILABLE,10.834543,106.727467,0
301,Huynh Thi Tuan,AVAILABLE,10.862731,106.627465,0
302,Nguyen Hoang Phong,BUSY,10.857778,106.670138,0
303,Nguyen Thi Hai,AVAILABLE,10.836226,106.656571,0
304,Bui Minh Huy,AVAILABLE,10.772295,106.688689,0
305,Hoang Minh Tuan,BUSY,10.856581,106.727972,0
306,Nguyen Hoang Vy,BUSY,10.761106,106.736494,0
307,Hoang Anh Huy,BUSY,10.813176,106.716426,0
